candidate_id,semantic_score,experience_score,skills_score,behavior_score,final_score
CAND_0018499,0.5886,1.0,0.3,1.0,0.6543
CAND_0011162,0.583,1.0,0.6,0.6,0.6515
CAND_0002025,0.5922,1.0,0.4,0.8,0.6461
CAND_0009691,0.5731,1.0,0.3,0.8,0.6166
CAND_0000031,0.6274,1.0,0.3,0.6,0.6137
CAND_0018722,0.6368,1.0,0.1,0.8,0.6084
CAND_0018549,0.6317,1.0,0.1,0.8,0.6058
CAND_0014440,0.626,1.0,0.2,0.6,0.593
CAND_0008239,0.5231,0.8,0.3,1.0,0.5915
CAND_0007009,0.5224,1.0,0.3,0.8,0.5912
CAND_0006557,0.5726,1.0,0.3,0.6,0.5863
CAND_0015578,0.5212,1.0,0.4,0.6,0.5806
CAND_0001930,0.559,1.0,0.3,0.6,0.5795
CAND_0017960,0.5679,1.0,0.1,0.8,0.5739
CAND_0011687,0.5208,1.0,0.2,0.8,0.5704
CAND_0012957,0.6268,0.8,0.2,0.6,0.5634
CAND_0005260,0.546,1.0,0.4,0.4,0.563
CAND_0006567,0.557,1.0,0.2,0.6,0.5585
CAND_0008295,0.5239,1.0,0.1,0.8,0.5519
CAND_0009024,0.5974,1.0,0.2,0.4,0.5487
CAND_0006418,0.5144,1.0,0.1,0.8,0.5472
CAND_0008425,0.4862,1.0,0.3,0.6,0.5431
CAND_0015967,0.5203,1.0,0.2,0.6,0.5402
CAND_0001494,0.5594,1.0,0.1,0.6,0.5397
CAND_0005311,0.5103,1.0,0.2,0.6,0.5351
CAND_0005649,0.5881,1.0,0.0,0.6,0.534
CAND_0005538,0.507,1.0,0.2,0.6,0.5335
CAND_0015528,0.5669,1.0,0.2,0.4,0.5335
CAND_0010257,0.4423,1.0,0.2,0.8,0.5311
CAND_0007460,0.5819,0.8,0.3,0.4,0.5309
CAND_0013536,0.5898,0.3,0.5,0.6,0.5299
CAND_0003977,0.6353,0.8,0.3,0.2,0.5277
CAND_0001056,0.4511,1.0,0.3,0.6,0.5256
CAND_0010541,0.5221,1.0,0.4,0.2,0.521
CAND_0001218,0.579,1.0,0.1,0.4,0.5195
CAND_0002120,0.4766,1.0,0.2,0.6,0.5183
CAND_0014063,0.4752,1.0,0.2,0.6,0.5176
CAND_0018888,0.4991,1.0,0.1,0.6,0.5096
CAND_0016163,0.4191,1.0,0.3,0.6,0.5096
CAND_0006538,0.5389,1.0,0.0,0.6,0.5095
CAND_0005509,0.4336,1.0,0.1,0.8,0.5068
CAND_0014683,0.4928,1.0,0.1,0.6,0.5064
CAND_0009516,0.5098,1.0,0.2,0.4,0.5049
CAND_0014715,0.5292,0.8,0.3,0.4,0.5046
CAND_0009236,0.5686,1.0,0.2,0.2,0.5043
CAND_0014858,0.5655,0.8,0.2,0.4,0.5027
CAND_0013613,0.5437,0.8,0.1,0.6,0.5019
CAND_0010080,0.3834,1.0,0.2,0.8,0.5017
CAND_0016170,0.5432,1.0,0.1,0.4,0.5016
CAND_0010685,0.5201,1.0,0.0,0.6,0.5001
CAND_0007411,0.4734,1.0,0.1,0.6,0.4967
CAND_0015493,0.4308,1.0,0.2,0.6,0.4954
CAND_0019880,0.4295,1.0,0.2,0.6,0.4948
CAND_0007567,0.367,1.0,0.2,0.8,0.4935
CAND_0012632,0.4054,1.0,0.4,0.4,0.4927
CAND_0013122,0.5433,0.8,0.2,0.4,0.4916
CAND_0012888,0.4942,1.0,0.0,0.6,0.4871
CAND_0009200,0.5137,1.0,0.1,0.4,0.4869
CAND_0013665,0.5121,1.0,0.1,0.4,0.486
CAND_0002344,0.4655,0.8,0.2,0.6,0.4828
CAND_0011643,0.4655,0.8,0.2,0.6,0.4827
CAND_0013393,0.4802,1.0,0.3,0.2,0.4801
CAND_0010603,0.4798,1.0,0.0,0.6,0.4799
CAND_0008517,0.4385,1.0,0.1,0.6,0.4793
CAND_0018013,0.4764,1.0,0.0,0.6,0.4782
CAND_0003841,0.4359,1.0,0.1,0.6,0.4779
CAND_0019848,0.3526,1.0,0.3,0.6,0.4763
CAND_0017648,0.4921,0.8,0.1,0.6,0.476
CAND_0006354,0.5118,0.8,0.2,0.4,0.4759
CAND_0002612,0.3313,1.0,0.2,0.8,0.4756
CAND_0012837,0.431,1.0,0.1,0.6,0.4755
CAND_0011432,0.53,1.0,0.0,0.4,0.475
CAND_0015097,0.3891,1.0,0.2,0.6,0.4745
